	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8
prom_1	3.3896455079879684	7.405989928980797	-2.3734296571666382	3.881368827061684	-11.048541385915975	6.187582921571291	0.9599671893859755	11.490953273646214
prom_2	5.015588106151949	9.814534087172582	-2.5032135147356884	5.177765605327907	-0.7976018129332973	12.731993548854268	7.260034223305853	12.355073591893007
prom_3	8.206785826709972	8.647955217729137	3.7346535083478987	8.495861854188984	-3.0897238769572968	14.992479060791146	12.194058500839636	13.190542528247358
prom_4	5.661020003202619	5.040417145752427	-3.1176138456408107	3.3584089762816305	-3.9683305136662135	9.035168411726486	4.638814160128049	10.103877272138561
prom_5	10.031284078583202	9.650249800303339	3.4764037697719896	9.821612717728394	0.8440657431109863	15.083523085024197	12.59635694416181	11.200890334751284
prom_6	4.977147090888106	5.08803718736497	-0.06216258341178049	3.5498093833644795	-4.645582925142443	10.75952950052421	2.9676445316341087	6.320686360873111
prom_7	7.066581671566334	10.014374210439822	2.6016685329793137	7.568792374205477	-4.859777594263208	12.927809391104775	7.395146507570292	14.400924811341955
prom_8	8.08225175700521	5.746098880425844	5.386835486868486	7.171244833533081	-2.0701729104605886	10.248567403447533	4.30916148816173	9.274608792906978
prom_9	4.648185447972139	3.9778229884088394	-7.42082232943884	-1.4442907419350202	-2.9300130157108315	8.500561747271044	0.46427362011864354	7.434621598972401
prom_10	10.608460941614666	6.114067277271625	-0.5135436607382303	2.194651147945128	3.0538661380255716	9.927380960157654	12.051631342296725	12.532631249291088
prom_11	4.242057497789787	8.830332174151225	1.1534125122773247	9.827229443798938	-0.34374444929843484	10.857986286946183	8.321044342821924	7.8615804413827775
prom_12	-1.4270634881602338	1.2495272197093983	-4.423342422082704	-0.8954661759037427	-4.957248175468292	11.097429016333061	-0.32126618356894676	6.203398452859115
prom_13	5.9012595464162905	9.252214014267317	4.548117061948446	2.839895320451834	0.9293799988194849	12.097046531225713	3.8327023400359055	8.31028459977712
prom_14	11.729286658779401	20.387228182767373	5.3591275088086405	13.799635431897457	-1.9310764947165198	15.126928657715208	10.119571377771285	16.28097581611405
prom_15	6.479709108155912	4.764536257150932	-0.5771904140693148	6.94321166439785	-9.342079450915207	10.311262049998772	5.5023696503409765	6.554031694798724
prom_16	7.457916883185305	9.909813109409129	1.2153193797138617	1.2239673188756144	0.963519073029315	10.621614684247591	6.591651996928501	7.557024007742761
prom_17	11.664144207974081	11.488873075292846	9.36882084375559	8.029851384967737	-1.472809913138102	15.833785859008012	11.389876809666779	14.372614893887432
prom_18	5.850855157593832	3.9546900483989016	5.741457693361759	5.890107334127999	-2.5544475776709836	7.145768772789905	9.214768136362059	6.78418710776077
prom_19	7.865188912262758	5.805723092212047	6.240233714272517	6.4960713334824876	-6.490675273757758	12.558402898844209	6.5009041507925565	7.62607237713519
