	variance
sample_1	0.5648162175073803
sample_2	1.4488367068523997
sample_3	1.0947759306044023
sample_4	1.2738902450636482
sample_5	1.2350706039662116
sample_6	0.542368797579501
sample_7	1.1812185653444947
sample_8	0.5975811313572775
sample_9	1.1028752346718136
sample_10	0.8031010937846091
sample_11	0.757755343711437
sample_12	0.7239702447793726
sample_13	0.5192052271984513
sample_14	1.164761357263631
sample_15	1.2283241032859538
sample_16	0.5679044886999691
sample_17	0.9974458247571343
sample_18	1.449937007618069
sample_19	0.9544289030870753
sample_20	1.410790103973254
sample_21	1.1905137071988126
sample_22	1.2781002176355216
sample_23	0.6264962650879934
sample_24	0.9911442604285631
sample_25	0.598936373368198
sample_26	1.1987057240069707
sample_27	0.9639922364445824
sample_28	1.399649687627647
sample_29	0.8042476189240183
sample_30	1.2457062220108388
sample_31	0.8324269025078969
sample_32	1.0034642354999601
sample_33	0.8389488597622097
sample_34	0.5746190565642716
sample_35	1.4416273212765038
sample_36	0.6587182749136785
sample_37	0.8436348008248151
sample_38	0.8618047699897081
sample_39	1.0766356836891473
sample_40	1.0424159447222416
sample_41	1.1373488410055699
sample_42	1.1281090083818794
sample_43	0.7845240441298145
sample_44	0.7108965791434025
sample_45	0.6211245692870511
sample_46	1.0237885519795893
sample_47	1.4071377987588847
sample_48	1.3048780484548934
sample_49	1.3859656665662472
sample_50	1.4749735028060518
sample_51	0.9823499104868625
sample_52	0.6753872002291131
sample_53	1.011759106056139
sample_54	1.3721596825947007
sample_55	1.2857657559442823
sample_56	0.8288075847627228
sample_57	0.518822884342345
sample_58	1.1487326053344957
sample_59	0.6625412168000714
sample_60	1.0444452252709269
sample_61	0.9932581195470728
sample_62	1.3911435543143824
sample_63	0.6868760107266406
sample_64	1.3716598808674574
sample_65	1.1827319281859139
sample_66	0.7599864391865917
sample_67	1.3951243862801008
sample_68	0.6198595917976081
sample_69	0.6124728502526399
sample_70	1.2548216720652503
sample_71	1.3417804762166439
sample_72	1.369347385520547
sample_73	0.6766684449978159
sample_74	0.5707046349869729
sample_75	1.258662910438637
sample_76	1.1729906324740886
sample_77	1.3303089432780109
sample_78	1.4789290983726069
sample_79	0.7184001271552304
sample_80	0.7511687354203005
sample_81	0.9105397371162649
sample_82	0.5388191462147822
sample_83	0.6921876317614851
sample_84	1.068633911731319
sample_85	0.8852568851200826
