	motif_1	motif_2	motif_3	motif_4	motif_5	motif_6	motif_7	motif_8	motif_9	motif_10	motif_11	motif_12	motif_13	motif_14	motif_15	motif_16	motif_17	motif_18	motif_19	motif_20	motif_21	motif_22	motif_23	motif_24	motif_25	motif_26	motif_27	motif_28	motif_29	motif_30	motif_31	motif_32	motif_33	motif_34	motif_35	motif_36	motif_37	motif_38	motif_39	motif_40	motif_41	motif_42	motif_43	motif_44	motif_45	motif_46	motif_47	motif_48	motif_49	motif_50
prom_1	0.13699443340607467	0.33234659416661627	0.8586764958622948	0.1611345408147288	0.6759161675146244	0.9710535666089466	0.5320388383560195	1.0097888580407877	0.9950240760483322	0.33015085468598504	0.37363843952131703	0.8289969373877503	0.3545023136791067	0.20991180908101184	0.2569210977658394	0.7241980865032365	0.11388304931277474	1.0513232990644719	0.5644886424477001	0.3134730716823749	0.7172810370977369	0.2511488423777418	1.094379751991903	0.13061892551563628	0.8532384060969438	0.26331599958656726	0.9673389671352295	0.2245436048846701	1.0471052106293368	1.07641498919011	0.3103219034579574	0.49390900945815275	1.0356551175106274	0.9452648833951237	0.5401262780004149	0.2273947134783363	0.19812077929401653	0.8033647252260139	0.5332621765052612	0.5926675985206303	0.41939345690182994	0.807044016888953	0.3874764073754141	0.14791420638127398	0.63060652311205	0.19926753911635	0.43070588859324377	0.1872674988626584	0.5512239677241285	0.7117780824509673
prom_2	0.8881256090332811	1.0394086791829509	0.3169478713562104	0.4470611832976943	1.0451145952724192	0.8102846095321251	1.02645201374981	0.5032366646414063	0.5246435352420904	0.5404393062460773	0.16377910447514446	0.838554356683238	1.068052859890149	1.0303003587846635	0.8363677446148399	0.3158586560037464	1.0996816215983987	0.6585026922542939	0.45337267412884497	0.3903814898185878	0.1567661073840261	0.4601689119729939	0.6234508330563641	1.0324700794680837	0.8236670441801681	0.5487063865587994	0.5326936748480028	0.9662061527688819	1.0401949653226614	0.311054493390876	1.069329512032578	0.8637699121734651	0.43575249272374417	0.29090779199533157	0.10568403630661008	0.3976926018498179	0.7233978239773357	0.7075851276370834	1.0294268681348935	0.15873048445710838	0.39381123906604476	0.40923649504817305	0.7236703559294109	0.952851943662919	0.8136927039918765	0.26402393237613564	0.46067900288669283	0.11491182899525401	0.2489032319427308	0.29720864354489485
prom_3	0.5186083015997888	0.9913735846222487	0.8484329181011093	0.1144307412047885	0.49514648200740563	0.32669778554244333	0.30162382030511425	0.1014468171125266	0.730198046554582	1.0933582219930074	0.5899407661734037	0.16954646726120928	0.2785084021442621	0.9945943710994858	0.7407971933360118	0.829374637618965	0.7342247544260186	0.7769489586691359	0.9608976096837225	0.2039716969229272	0.9849651367748453	0.45608548725327913	0.4819875648426265	0.1450335703229705	1.0573152873261629	0.4098552836594038	0.9159581466284349	0.9315160043583905	0.16921074650484894	0.5265077445217079	0.5692270309483545	0.9652016499820626	0.8579374316384757	0.39722483152183374	0.5691185645797212	0.8195838459322538	0.7786170448909311	0.8780726406561661	0.8717376466109262	0.7852173821267227	0.42123938125544436	0.33026345426909653	1.0730015533052604	0.6195143668371926	0.4644313469462933	0.8915396079075021	0.6193626681247252	0.5217633740131175	0.9246149741322998	0.16688092174509353
prom_4	0.44627334392563156	0.47790573130689473	0.3975753895288805	0.7165397914808704	0.47493516454104245	0.8950780732952073	1.0781262154795728	0.9993912740125727	0.3386968726787155	0.4704218151820013	0.9963135593665658	0.9343869958271291	0.4797849943471566	0.4184151518012398	1.0864383409190133	0.6876080004175564	0.2389804114501445	1.0609647321652358	0.31871123852477534	0.6443228552156527	0.6180897857969911	0.9108308193829634	0.31115739508422646	0.8649048035072763	0.9578990411865215	0.46308513722771794	0.7190157143807964	0.5131355191777996	0.5261190702729213	0.6866955390014213	0.20796308150784296	0.28435140670264925	1.0385235961241253	0.4354482112368513	0.9082275345749813	0.9536514425008273	0.8812327979501201	0.29750617298675375	0.9969044096387693	0.8989102651168193	1.0831739280374713	0.9360000890068674	0.6883784345960351	0.7905304513965612	1.0828102563180768	0.4953566265652537	0.7041024218588002	0.7812278583823777	0.8586126696479087	0.38591668409986657
prom_5	0.8359484891250182	0.17857138590745472	0.6079076352740665	1.0199111721131109	0.774497194777507	1.0498418588857774	0.12999022278561626	0.5486804535370462	0.22173781682435892	0.12574280901829651	0.12219999229857484	1.0107233796471518	1.0936937057312737	0.5390006252748385	0.9338667511506293	1.0974319124624388	0.22822931429992047	0.5930891518587462	1.0427530242828753	0.2134788949404889	0.5521889975549491	0.21671255924364244	0.7951761959274789	0.9879185710785942	1.0763048135849493	1.04425827796629	0.8477602581922374	0.6367015028522046	0.6038034523033097	0.23546304015910505	0.5952200306200494	0.9310522020068877	0.6464910995056049	0.90097581990453	0.5279351156118627	0.7667150319432279	0.2710649946928171	0.11238294794392725	0.32435046928541444	0.35219391568360314	0.4165899052745098	0.9805480418255175	0.7534153669837957	0.5980174230998668	0.44015636317935325	0.6008547755607189	0.3119540583439374	0.5228645144840588	0.5286871291643406	1.0768545771507412
prom_6	0.7111798582771907	0.5500347918843116	0.4836459051646901	0.6490099454697197	0.4477996984522028	0.14285660693255423	0.9811304185548181	0.28028688366701626	0.15507938190977302	0.6390859729009142	0.31006430640533644	1.0594477525370054	0.824069400138034	0.3085578678195281	0.29355229660225257	0.18229953400614043	0.80004221701129	0.4679705363469323	0.44810478767277984	0.4670716148277395	0.8247417688867278	0.5022573136753056	0.8116166809362986	0.7875231217655292	0.23782375261421454	0.8149480576440286	0.19083685977698586	0.5724579877104323	0.6976585832645573	0.2890797955912885	0.8615986315550943	0.7592503368298773	0.5190608512130624	0.9594161576240076	0.9260549633246259	1.0437805238019595	0.9978327997636468	0.7540553131495333	0.3078137517007655	0.13116440570970303	0.1650621513835088	0.48408270657250185	0.9576983645436319	0.9261285308347478	0.8947111395419094	0.6630256622359164	0.6451629119404149	0.7710360279244625	0.20062403879239635	0.5327054911762551
prom_7	0.16092183035516885	0.9518167523641354	0.9342268623521378	0.32776574199644104	0.641212693140794	1.0560711833092606	0.5112931739836569	0.859720090755839	0.6230050262204885	1.0992069116678571	0.5369095891219671	1.0900835951401004	0.924036959810929	0.9347366761258563	0.35648565051754444	1.035848411261967	0.4204762192916198	0.9932544897847015	0.6255567489154177	0.4986651154568411	0.6145946204441125	0.38509483453306503	0.48109213175688126	0.5367086676355615	0.26382980526718536	0.7266079086034677	0.21419354623666712	0.5623674297243518	0.2551171129273856	0.510010504824817	0.8031424672570028	0.5610317679252154	0.8750329234148934	0.7822884354321453	0.4029007925892676	0.10776419097455439	0.48120798559370326	0.697461907007016	0.5735626343937869	0.29020329045586235	0.506995704201133	1.0087862418740339	0.5883155003744069	0.19518364575194283	0.8388274161521944	0.11181581965859924	1.0108578967164958	0.4224081258832496	0.8877009010823064	0.4088251296828488
prom_8	0.19188922977878667	1.0289843757017334	0.7244528002823378	0.9481673092845648	0.8613919898310312	0.3117033655141376	0.622602678436373	0.6262326347441362	0.5005548716169819	0.638828546915011	0.6999799250825341	0.4315389830510602	0.7355445900576324	0.998957643589465	0.3995552667720351	0.4019229311591759	0.1794145486309098	0.3944686758449112	0.20959050365693024	1.0792921671030107	0.897988362016334	0.12066880278164241	0.8816205942155722	0.6929377886434545	0.14513400133035972	0.8562716108239659	0.7654391257708987	0.6463587068024695	0.6436818072331884	0.1668618170888694	0.12589935325469429	0.19489694320728249	0.34122091244093433	0.15389859058830316	0.6510812122795057	0.16297879187272715	0.4887339077348489	0.6141174962012586	0.10690426801111388	0.9996485683177825	0.813197491966335	0.41578486552364646	1.0129869321850533	0.7918068699492343	0.28050965755152324	0.976808657358521	0.42307647979478535	0.8827279138121003	0.5256471846512212	0.5571069276641446
prom_9	0.1192865970771432	0.39241350044216006	1.029964407295239	0.6911296944802352	0.8703120967589874	0.30918349360872843	0.6392569009151574	1.058029257936602	0.9623542591328561	0.6929244533454754	0.3897684044623986	0.8402667417900798	0.25119500777585024	0.22221719159488643	0.7533410791242329	0.2777567407244558	0.1980872407942145	0.7914663463391273	0.43848438066413153	0.7389393945892413	0.9925096573581444	0.8515849349548829	1.0224126115328702	0.24109839240463385	0.7387260375807159	1.0589254106667738	0.5470989529693305	0.6001063362108813	0.17313187491419027	0.39998619700008653	0.27245549322663043	0.10811701408373867	0.9997174019453834	0.39158079713257576	0.7265031368952461	0.9731938550101359	0.5802571301165441	0.9990464586491536	0.6816352922708487	1.0562949374211978	0.6618572534413963	0.7396639997981173	0.14826846245922168	0.26738588422141674	0.659576528327417	0.23526556190623307	0.9040469519027299	0.5873902582601439	0.7861204117959075	0.9093782387953899
prom_10	0.11044967623378124	0.7672752726708154	0.4202540292236415	0.4024232435234001	1.0247875283031413	0.690923945729993	0.2994124015989006	0.14224121504886036	0.1746880425860418	0.4312587064241833	0.7895606228162746	0.32552395792673994	0.3648851702948668	0.2702911345788913	0.6929607796805823	0.9019799008693489	0.27859594796455023	0.5216899553099054	0.28195407558597674	0.8145685492296583	0.5649124707017237	0.816506016082865	0.8583636150475988	0.6058764075507267	0.9528350977245833	0.631362489880236	0.5330970652989652	0.9282875179412236	1.0127320357440937	0.575982921976673	0.9624801017724091	0.28840520651664947	0.5139207877444701	0.1394958529173377	0.367959210206372	0.27159017635459437	0.6796109352341524	0.9693357434871163	0.6834272723570775	1.0545499307901256	0.5297086930017714	0.25955943252277913	0.9330492628135384	0.6198283978422201	1.0074665527936175	0.7449886474973977	0.6112014642426656	0.915462301739756	0.33965644888164725	0.9961324433508931
