	variance
sample_1	1.3895483054643294
sample_2	1.2225803534321888
sample_3	0.9113141204668086
sample_4	0.8193219768237104
sample_5	0.6517853154125842
sample_6	1.3266477224030098
sample_7	0.5664133734316359
sample_8	1.0323471499453734
sample_9	1.2867722805128148
sample_10	0.6190386810683943
sample_11	1.4916219002189886
sample_12	1.198354289190981
sample_13	1.0917337573256147
sample_14	0.7567250322308424
sample_15	0.5048945580499391
sample_16	1.236812109532961
sample_17	1.2972084189132382
sample_18	0.6463643756275154
sample_19	0.6421202130109299
sample_20	1.3192451982555116
sample_21	0.8353726016891835
sample_22	1.4822409914483332
sample_23	1.2554907516088856
sample_24	1.494207050436927
sample_25	0.8430114189047517
sample_26	0.9060467297588592
sample_27	1.0020497504431418
sample_28	1.053787920964429
sample_29	0.7945242806244425
sample_30	0.9323947434737369
sample_31	1.4117860031379073
sample_32	0.758394383407773
sample_33	1.2032395962335873
sample_34	1.1677987879317882
sample_35	1.2565807762544186
sample_36	1.171746428355421
sample_37	1.0699901091806774
sample_38	0.6381501570633412
sample_39	0.9530735965467344
sample_40	1.4128902774765062
sample_41	1.4491605676183124
sample_42	1.441602706845479
sample_43	1.2958607748578699
sample_44	1.066180302193307
sample_45	0.6310087026932844
sample_46	1.421000868437888
sample_47	0.657195239868347
sample_48	1.431264725937206
sample_49	1.0278032812415132
sample_50	0.6527890477986001
sample_51	0.8147298300166755
sample_52	1.4851316022534506
sample_53	1.2062940110886093
sample_54	1.4214373747295874
sample_55	0.9339271393249008
sample_56	0.9284447954132091
sample_57	0.9516779692279236
sample_58	0.502306241595545
sample_59	1.468260612173049
sample_60	0.6700035808348637
sample_61	1.2265328925140937
sample_62	0.8082672846880599
sample_63	0.8656146862122418
sample_64	1.3617200832136866
sample_65	0.7504518948747896
sample_66	0.9155124281357875
sample_67	1.2243021583600313
sample_68	1.1277542594661198
sample_69	1.2339580505704444
sample_70	0.7496056604704512
sample_71	1.4386479541595345
sample_72	0.8792205878102801
sample_73	0.7996268839824042
sample_74	0.7154089112670771
sample_75	0.86873466747212
sample_76	0.5216327301326688
sample_77	1.4118169681830317
sample_78	1.3818403350188537
sample_79	0.5119260234847811
sample_80	0.5373260135516361
sample_81	0.6722390217431733
sample_82	1.068735754703813
sample_83	0.6009724437468901
sample_84	0.826201967922736
sample_85	1.3197426263654524
