	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85
prom_1	-0.7329124178898327	-1.5175345937486078	-0.7139596537012474	3.656997198084099	4.227592818543733	4.929305781561703	-0.4915558144284755	-2.414023578398891	5.665660996900261	1.1954690250586995	-2.101059772489269	3.5789643738339167	11.81189944077752	2.299024794091717	8.527301967367233	-0.8807394457506748	3.211228613567683	7.351762078012943	2.185626077211518	5.644689530161601	6.388484218876951	3.5702973060217356	8.500555264901454	-2.3282896318862933	6.480770879122997	-0.24652674948750541	-4.337311787114567	4.701252838976858	4.42125898299046	5.757422330313116	12.161149024642677	7.492291882810012	-3.2004573597074515	5.634297359371626	-2.214887277633885	8.27294912106553	-1.612004918090292	5.231264173547527	2.77143771289723	5.586544811460818	11.180295434733978	9.255586038092467	1.4175652180787235	3.884137339436582	6.021037333018333	6.924578212835192	2.856835092111897	1.2803274705566308	-2.338349834013875	2.435481119071632	4.060811004698048	0.1640176338324844	3.8803218247511495	3.068162971159361	0.7594209228811022	4.7299105288900085	7.967778173569627	0.7918902240591663	7.366559129101759	3.4829292101495715	9.683530745902578	-1.4306180674291413	3.9311929711529454	8.239335174841093	4.401552216610331	6.9924334991763	-5.7519858230803	8.640538119765342	-4.039493757685469	2.731416795213943	11.810121905175698	6.483004251475505	-0.5959497123370469	2.511209085178944	9.090880621105025	4.011151295247432	2.891141598094537	6.447703361647437	5.553202128061546	1.1567574661826299	8.115956145829491	2.1745694273539944	8.49964533725746	0.7428972372802102	8.90431835458162
prom_2	-6.376851817853543	-7.449626414317009	-9.902873535800351	0.32657853611736914	-4.437861499205055	-2.3683043082650723	2.525028004666145	-12.885721102704592	-3.78039241890457	-9.926579658111589	-3.462209295360969	-6.487864519821127	6.829778698235395	-4.333241976280251	-0.7071718432820394	-10.735397480202025	8.66284276800618	0.11564142177638526	-1.7032140470894783	2.8763269455700473	-0.05292261375162299	-2.8658789444144253	-3.0880103000975483	-4.99494494397504	-3.3457898305111926	-0.9304406593675814	-8.62895733587117	-3.7555209847851074	-0.020940101009532475	-4.2775952659458865	-2.863843342442154	1.3565591034836626	-10.608964288816374	-4.785863709925835	-7.935730696367826	7.845092690216864	-8.842418924597684	5.142582595322162	-2.976365392387284	-0.1282155413480892	6.872214773720169	-3.691854774245154	1.6036965523931799	-3.200197839083376	2.212259349935882	-0.7677939439486903	-8.609094241306158	-3.2004493337342534	0.013954901445110302	-1.1901435961770688	-5.788187653485281	-9.258114641236032	-2.8324756412337337	0.9606124091276559	-5.477763557792735	-5.269126258741315	-3.3151948610254465	-9.058182448489916	0.660963093846091	0.4008247874386477	4.775394257692877	-0.8464515834510462	-5.172505631898504	5.649681852489025	0.2639374619651327	-0.06988449777377563	-8.334012354407045	2.5437066869810394	-18.811996523900174	-0.7178891807260273	-2.2825901518602065	-2.402993409357344	-5.8717554959733	2.447095725167418	4.921562321119299	1.5564756355626743	-1.640035658484257	4.117493628714344	4.303711179180894	-9.16364304718056	-2.153004521068743	1.8629486097392913	1.373275152767731	-7.179798958737897	0.8481257689726759
prom_3	-8.969281121255445	-3.2438343803010246	-2.9193076930057584	3.5841912992829528	4.378461408717251	-1.5504650871713292	0.7784197800069845	-9.452695396621912	4.035635724375887	-5.743546570901771	-0.3854841440662886	-0.8113398698516698	12.297864849652681	-0.8766006225193389	2.6266060004428438	-7.792951756587407	2.844184852239259	0.35685717954402274	-0.1802708041994473	0.859005901030571	6.201802728539672	3.041307333940453	2.014535079174043	-5.749967672414155	0.0542863236574435	3.1501886883464802	-11.782961979532557	3.379425602517246	0.8395493299816492	-4.774352289139927	-0.45880439716426374	2.600974627524502	-9.686548492297058	2.952066132652073	-7.4732734652982415	8.31118978038512	-6.708284976040431	8.111520597302173	4.274177846714661	-2.6843672449672082	13.5124512231044	8.284449460548114	2.974036996038709	-7.349034100419605	5.355643581587269	11.387372984262658	-3.775709584143616	-1.626638928342175	2.497973112676778	6.638982426499728	-0.42954386820169543	-0.08648002862709947	-2.7234019272189722	5.532426824579599	-2.2038495194806225	-5.878198814937878	-0.9096932204596082	-4.236603678658796	2.852229845278781	2.996244357445091	12.189895992453652	-1.9003473969630922	-2.4096384999441414	5.087468614227529	-1.1369693131042187	3.5382337234310084	-7.219139291254891	3.6441176909706483	-15.096000735750847	1.9582710769694307	4.913370395162627	5.381717856710388	-3.8718522079060143	-1.0059293458121636	5.240532353671573	7.588084859174001	3.2604593616634303	1.6260397934637312	1.0305526186305463	-6.060028040600883	2.4462242119829893	-0.9051508425278938	8.262300690081059	-2.3491616582356776	5.223805012335226
prom_4	-4.953959981147679	1.7590567632010914	-2.132059828168432	1.2450300893728492	-0.414493659576727	1.9324474428132667	3.863550265111362	-9.833981306694108	0.593064577997698	-0.2304814831501465	-0.21381040284188502	-0.782725188260135	13.302073720841227	2.8408239823525663	3.3880640637401203	-2.440644648734524	7.4859042601858015	1.8521328352844848	-0.8756001509348813	7.073083677796149	4.914608654402853	1.2223793012779833	0.482325420325902	1.0095660601875025	1.4988023115816418	7.006661046410586	-1.3378041929195081	2.2217128424568364	6.814858837391745	-3.3312714043088287	4.831387878583156	4.646868538789789	-12.2968809228925	0.371117334148775	-6.740492612473664	3.5371671872585244	-2.788073661280352	8.037743703038219	-0.3517598487290601	0.7608396176420404	16.149921075429447	6.001961284353203	2.3759111696064465	-0.4155260088860723	6.841303747955762	8.609810330866075	1.9674712554654872	0.24743486376944324	-1.5153799211981887	5.193822930088086	0.4067232053392884	-6.10817626917501	0.945110393054547	4.151624528516585	2.1734479995345066	-2.464007968573875	2.6916173437987934	-2.4861563480113986	3.0212665963756495	1.948393311201968	9.558004559210417	1.60982424681096	-0.4020470387228582	11.586130314296756	0.146912842940345	13.352803110048304	-2.3648147625748774	8.513442721490089	-12.54859495101855	8.219775538716181	7.215251725208131	5.572070301839956	-0.16837782109369515	-4.00541961005422	12.354872824460696	4.627704405114805	0.7880013376561092	9.063385321642816	3.950996070420831	-4.426658710215556	7.586737699855502	-0.2884196082767727	6.857734366533633	-2.9126817580200797	7.388879769068717
prom_5	0.93247452278446	-4.934753860222736	-5.981057115518005	0.06914073296632584	1.327903436373152	1.3141833566611687	5.616577802166602	-4.32973691384443	-1.884589377413352	-1.1831286133604653	-1.1113551671961632	1.830769230886964	11.718390884015427	-0.05878581228133406	4.209131808455423	-7.177635001692055	5.1267488699598	4.711320292302098	1.0859440692515532	5.036732410581834	5.082719941942894	-2.7012268597385094	3.7338156180425	0.22179976819736352	0.28104220481797215	1.7308579703801281	-3.422836895530029	0.6212186335825314	4.7248014456107725	1.7830263879993684	5.400744819971456	5.889178885754898	-4.434394457238387	6.628875396767837	-4.000968590363182	10.985199623902293	-2.088835484030942	7.012929855796742	1.3861825010530588	5.0814708853797885	11.365422967617272	1.0908194506334985	0.5732423712092183	0.8424593663967643	6.223742740999768	8.373229944299025	-3.649045165353205	1.3538486533105365	1.7864363405405472	2.5968880778342145	1.450856013602134	-5.245643347632118	3.850857341517396	2.022473007557383	0.8056131492115901	3.430891072597677	1.3713100211981402	-1.923723721442914	5.6026124415460465	2.571567884917556	9.96765940100669	0.3321814554819513	2.751143400454535	5.341898574900469	1.856661121412392	7.087637688660354	-4.992760009683504	5.512845843999071	-11.790534206235833	6.5771524842421245	1.678824170396073	2.4264153108619664	-3.844151130808393	5.041174481265885	7.281226836156824	8.987516631810246	-0.36844881357817516	6.082960866383091	4.415173016821805	-3.1283517228025053	2.151414821493707	-1.4400761032350755	2.551477441610873	0.07731453080436901	2.731125275146233
prom_6	-5.452651006752768	-2.277171282191852	-7.448311781921193	-1.3310156906999149	-2.0118351039461335	0.8197495215434845	5.473618405216709	-4.353996106771575	-2.4324336110645364	-4.811154489872018	-1.6214629490702275	-4.88272369094621	6.800716504340094	-0.06053445770794391	3.85067590364396	-5.935595386259263	8.513075474248458	2.2811731799201382	-2.733634981668568	10.95431878676632	5.68820508918422	0.9098889462303723	0.06140506957192726	-1.654099942582207	2.7880856553031688	0.816896596154072	-10.882954857996227	1.480633980198601	3.1533068859185627	-1.9117987592532133	2.51560299353837	6.246174695534561	-8.09123183619599	0.7782850587458218	-2.3154756432347607	5.861934182167466	-4.368833551931281	6.254864302386924	-0.14724160908210193	2.7466699055421477	16.34595426791344	2.456684479392864	6.293456470791924	0.6373688869040743	6.085767209860803	5.420733400834724	-2.9555061359063477	-2.0332642907539094	-0.11793065700404914	8.101130171827053	-0.13236768578613164	-3.774243405302501	-1.0846373605721529	3.262734827947577	-4.433693293266983	-4.111262069508198	-2.3278179104390304	-5.909770873881481	4.638791696271712	1.9287145406357964	8.464288029103423	-2.005803021458096	-4.324054635038821	6.519042661087871	0.4099943461385565	6.383558734805656	-7.182134251352023	9.525081359376202	-15.178874150915867	4.861136622210126	5.107641556008865	1.3106363574973732	-2.3040640019597554	6.923776563246225	6.250555124708523	8.084806587445142	0.3774298874231137	1.1783092456056243	8.785323613609911	-10.023783897434251	-2.3117477423861708	-0.9741430322128147	3.3416392094304146	-2.191073386889704	-1.9438638369568948
prom_7	-0.15699400316323447	2.8071846296441554	3.5986000100690907	5.310422529701298	5.118947692553142	4.356296728887061	6.523382890864441	-0.6437940539839162	6.083772105972841	3.685617299642199	7.569120405824919	5.091980593132737	17.95292542876305	2.237506755474601	8.169546647927485	-0.5726180409646746	13.681372308548536	7.901286543650172	5.491056698727311	6.032039254909561	8.885410053231722	9.28656321549521	7.264888894239814	1.00019812193195	4.706686118233978	8.093490875148419	-4.717212072874703	8.663508472336634	6.828553510416674	-0.28885917602928224	11.342743074996799	8.051376013756206	-6.199328170778382	6.284728851537847	-3.039402315191378	12.55695226614111	-2.008315437120252	15.59325555701038	4.785731136727608	6.908061197662196	16.28736615704832	10.667199667927346	7.456030756638988	1.0442123503393264	9.311859483982563	12.451970787691776	3.030199661676199	3.940049923237854	6.280971106938015	8.38695450415141	9.411627852680047	0.8504488630772595	5.34536514512156	10.350882300631538	4.583585679199221	6.188582953687373	9.601513415324206	2.6688555445380056	9.3081217539144	8.808667956552004	14.736928309325668	5.526220704635606	8.191742973195552	9.293437718748022	5.358625568522372	8.83038937059266	-0.7713112338053902	13.017521976679815	-4.246800609415893	9.885366200489315	12.392593722604946	9.68432109726233	1.7500855076129072	10.006092342071684	11.034373493249035	8.964839544062	6.71400285600342	11.095255401921813	7.496550662176303	1.036220203923763	11.422518062946745	4.3519834272978635	12.184242965097342	2.8657927783590154	16.322646347153185
prom_8	-5.17211087234784	-1.2128085841659022	1.0428187821783843	3.197931476762744	2.97701049611345	3.659989455741611	5.667802526668011	2.1839774271262167	1.9848223573379284	-1.1447143580092727	7.478729675251031	0.2910143341166931	14.978579653457054	1.213505342726702	8.246092308436497	-5.287617474863744	7.711829109333061	5.2563720918902455	2.249292344550062	9.491732374104801	6.70742893032893	4.271554376073846	4.412374072059338	0.6284717573585834	6.969538675452927	5.8090622467573825	-2.4447467824914857	5.136477344989719	6.386981008605506	1.3597318784180392	3.740886846933664	10.180291732264475	-5.008869860440723	6.584758592087094	-2.5757350626553888	10.663884909604818	0.00930219063709243	12.08086178522787	4.925709357640938	6.382818783807215	14.926335858205112	9.789982819900555	6.250567126913741	0.8169770679866911	7.548696869096569	2.9862178023068937	1.8762211060924723	2.0936813849453166	2.839506587720118	9.94433237934836	2.384949119224306	0.3002206541357301	6.759079328951572	5.2131819561020265	1.7612763740220623	2.221849902752939	5.183025599662171	-0.07489357323448137	6.456878790399637	5.429661913346292	14.116865612267794	2.9907651367155452	3.5437560777668815	8.365064866946362	1.1718081625136851	9.531997006921802	-3.2381285725653077	9.955162075667992	-4.944182767075493	7.082046887476851	3.6306563561254555	1.8369326058038333	2.0526875395122026	5.081252019866206	8.810174015402724	8.50684748544913	9.285471673899854	8.063369799801652	9.699636509063382	-4.3498576902044315	9.125421018835048	2.519196714063953	6.9059161652940455	-0.35221121448267606	10.857344883409421
prom_9	-3.925005517164017	1.7706755327496848	3.7307656680152634	4.399772147433545	7.561637651870632	6.246609588481416	3.949811964468879	1.0102407139455045	5.638172773548225	0.22726713771926388	5.031820454992685	5.279188274063931	14.342042875103362	2.5425422023972093	9.373136077145995	5.412597257348999	5.376419558333186	10.388313359045728	4.5281177504063175	6.9712344284295	10.635068857131913	7.675777784558255	6.090315851763883	1.110927053235169	10.647921222047747	9.68943473138084	-2.8906447117988856	-0.8767590187548526	3.5045372323958777	8.254291889937356	9.221275237757004	8.788335623009122	-5.515874326318338	7.018500979070838	-3.4418608755524858	7.730768757861607	0.9747449603477325	10.652569724934594	2.901939356784167	4.032805272871022	12.82365823126144	12.061738973080372	4.764505245879945	3.777609256844383	9.647277376691425	7.590080020291232	4.625716673235259	3.9081732295160627	5.137864316550499	9.272413592449233	5.395787984772893	4.58676204892569	1.587066637403855	7.388739618629449	5.128626559252645	2.4994161999878886	11.95546203824738	-1.4548880143015779	6.507771879007818	5.969278146079874	15.059618540719718	1.6964365590026729	1.9808068037017508	8.607123857845986	6.708216312590826	10.786592254838764	-3.1364277100271902	13.213853185628045	-5.516550019746523	3.951155182909938	11.313858271141783	5.895188614877378	3.2598902965451186	3.6369332914765606	10.40848654404892	8.01349811147697	6.9264427432951186	10.731550932496052	6.8342916502715685	-0.37318303660152896	8.3806753043517	2.9238444442219707	10.544828939289387	5.720998482152793	9.167985573844287
prom_10	-8.019996215708597	-2.9735273419447443	-5.291854699234639	-0.7327080253376911	-2.5915513732212654	1.627668711308763	4.584980488872232	-6.851907457812446	-1.885582752907325	-7.242040593590602	-4.047301183139507	-2.609204231930461	6.31158514941284	-0.6180372694512499	1.25125517411095	-11.238580471290039	2.503394432710735	1.6525128760365222	-1.7928228140415603	-0.1806878991160965	1.1647299979309016	-0.496703662766492	0.048802976681688204	-5.708927177195143	3.379272181518066	-1.3918642701437962	-9.295360217145662	1.1661888784020147	-0.6201099863953417	-5.394116729929936	-0.8019794408295069	0.4511052114569638	-10.621096609231632	0.09711128629670694	-8.162216016524955	7.601230120182958	-3.835194807307811	2.492628494784473	-3.760912094855777	-2.427049465190441	10.687765363847479	5.889810693188692	-0.31550180044625453	-3.722125511781059	2.9135589278385297	1.7696797729829075	-9.192456317199031	4.462194819816651	-0.15829018764169045	0.5517575898920214	-3.5416004539213364	-6.185349516012076	-0.21654856980440318	-0.632320894475381	-1.2169303696632126	-3.400195758409115	0.021648231212435393	-7.167892382199836	-3.2983069934421807	0.19045484832718929	4.407876729967528	-2.4755427049364047	-3.4183777866472194	1.7265564195192993	-1.6144320498116314	3.8747515018327396	-6.33351853405024	2.090321147294377	-15.566288135442363	-0.4655829586847251	-0.7887826097629724	-0.8125593595586426	-6.608361390958056	-3.857484084307423	8.709328354587733	3.941016782415318	-0.21936843035765585	0.3592145369705064	0.631298740074143	-10.098736953548434	1.871533406245311	-0.4659766912163874	3.234466968898575	-6.641840810441897	-0.7064117285734817
